"Customer ID","Age","Gender","City","Subscription Type","Monthly Spending","Tenure","Number of Purchases","Customer Support Requests","Login Frequency","Last Activity Date","Satisfaction Score","Churn Status","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1000","56","Female","Phoenix","Standard","88.81","53","109","0","1","1/8/2026","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1001","69","Male","Philadelphia","Premium","269.39","52","53","0","28","5/23/2026","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1002","46","Male","San Diego","Premium","195.86","51","42","3","18","6/14/2026","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1003","32","Male","New York","Premium","160.93","8","9","1","6","4/11/2026","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1004","60","Female","Los Angeles","Basic","47.31","14","22","3","30","4/19/2026","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1005","25","Male","Dallas","Basic","25.78","10","16","5","14","4/24/2026","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1006","78","Male","Chicago","Standard","129.27","3","2","4","11","5/16/2026","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1007","38","Male","Philadelphia","Premium","191.87","38","53","2","17","5/25/2026","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1008","56","Female","Phoenix","Basic","35.85","29","30","2","9","12/29/2025","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1009","75","Female","Los Angeles","Basic","44.93","15","32","5","28","2/1/2026","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1010","36","Male","San Antonio","Basic","11.67","23","25","0","22","5/29/2026","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1011","40","Male","Houston","Standard","133.06","23","50","2","7","1/20/2026","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1012","28","Female","New York","Basic","32.85","18","24","4","14","3/4/2026","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1013","28","Female","Houston","Basic","34.3","46","89","6","28","6/12/2026","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1014","41","Female","Philadelphia","Basic","30.93","19","28","0","17","6/13/2026","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1015","70","Male","San Antonio","Basic","44.98","28","48","2","8","5/28/2026","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1016","53","Female","San Antonio","Premium","156.52","26","33","1","28","4/26/2026","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1017","57","Female","San Antonio","Basic","20.44","10","20","1","16","4/22/2026","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1018","41","Female","Chicago","Standard","137.58","47","63","3","12","2/11/2026","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1019","20","Female","Philadelphia","Standard","125.23","4","5","3","12","1/17/2026","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1020","39","Male","San Diego","Premium","152.65","55","84","4","28","6/14/2026","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1021","70","Male","Houston","Basic","30.68","2","4","2","28","1/28/2026","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1022","19","Female","San Diego","Premium","229.44","3","5","4","5","5/1/2026","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1023","41","Female","Los Angeles","Standard","90.09","7","8","4","5","1/5/2026","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1024","61","Female","San Jose","Premium","194.61","55","101","4","14","12/23/2025","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1025","47","Female","Dallas","Premium","252.26","16","28","3","6","2/1/2026","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1026","55","Female","Dallas","Basic","18.31","31","73","3","7","3/5/2026","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1027","19","Female","San Diego","Basic","41.96","10","21","3","23","4/25/2026","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1028","77","Male","San Jose","Basic","42.12","19","34","1","21","2/26/2026","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1029","38","Female","San Jose","Standard","91.53","28","33","1","17","1/21/2026","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1030","50","Male","New York","Basic","21.34","17","35","3","27","4/10/2026","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1031","29","Male","Los Angeles","Basic","21.36","28","46","6","9","6/19/2026","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1032","75","Other","Philadelphia","Basic","29.29","19","46","0","22","5/11/2026","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1033","39","Male","San Jose","Basic","38.78","37","36","2","13","12/24/2025","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1034","78","Male","Phoenix","Basic","24.35","23","15","2","9","3/4/2026","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1035","61","Male","Dallas","Basic","34.4","20","12","0","27","3/25/2026","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1036","42","Female","Phoenix","Basic","25.3","13","23","7","16","4/10/2026","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1037","66","Male","Los Angeles","Basic","22.18","13","30","3","4","5/12/2026","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1038","44","Male","San Jose","Basic","10.99","43","21","4","2","4/26/2026","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1039","76","Male","Houston","Basic","10.16","11","21","6","13","3/26/2026","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1040","80","Male","Dallas","Premium","184.08","48","87","2","13","5/25/2026","4","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1041","59","Male","New York","Standard","90.64","15","29","1","19","5/28/2026","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CUST-1042","45","Male","New York","Basic","44.05","17","20","2","12","3/15/2026","3","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
