Customer ID,Age,Gender,City,Subscription Type,Monthly Spending,Tenure,Number of Purchases,Customer Support Requests,Login Frequency,Last Activity Date,Satisfaction Score,Churn Status
CUST-1001,58,Male,New York,Premium,92.0,15,2,3,Daily,2026-03-26,1,1
CUST-1002,20,Male,Los Angeles,Basic,14.65,39,1,0,Weekly,2026-03-29,5,1
CUST-1003,55,Female,New York,Basic,23.96,22,5,0,Weekly,2026-05-24,4,0
CUST-1004,42,Male,Philadelphia,Standard,54.15,52,2,0,Monthly,2026-04-13,2,0
CUST-1005,42,Male,Dallas,Standard,63.18,40,12,3,Weekly,2026-03-22,1,1
CUST-1006,32,Female,Los Angeles,Basic,27.33,25,5,2,Monthly,2026-03-31,4,1
CUST-1007,40,Male,Phoenix,Premium,144.93,42,3,0,Weekly,2026-04-13,3,1
CUST-1008,42,Female,Dallas,Basic,23.69,54,25,0,Daily,2026-05-22,2,0
CUST-1009,43,Female,Los Angeles,Basic,28.26,37,11,1,Weekly,2026-03-29,5,0
CUST-1010,59,Female,Chicago,Standard,35.59,48,18,1,Bi-weekly,2026-04-07,5,0
CUST-1011,43,Female,Houston,Basic,20.19,6,1,1,Daily,2026-06-01,3,0
CUST-1012,45,Other,Los Angeles,Standard,45.26,30,9,1,Bi-weekly,2026-04-11,2,0
CUST-1013,25,Other,Dallas,Standard,60.74,22,2,2,Bi-weekly,2026-04-26,3,0
CUST-1014,64,Other,Phoenix,Premium,130.96,33,4,2,Bi-weekly,2026-03-31,3,1
CUST-1015,66,Male,Dallas,Premium,143.48,39,11,1,Monthly,2026-06-18,2,0
CUST-1016,74,Female,Houston,Basic,14.82,37,3,0,Daily,2026-04-19,2,0
CUST-1017,52,Male,Chicago,Premium,108.02,36,6,4,Bi-weekly,2026-04-14,4,0
CUST-1018,52,Other,Houston,Premium,94.94,43,21,2,Bi-weekly,2026-04-25,5,0
CUST-1019,32,Male,Philadelphia,Basic,21.77,15,5,1,Weekly,2026-06-20,2,0
CUST-1020,21,Male,Los Angeles,Basic,27.19,5,1,2,Bi-weekly,2026-03-27,5,1
CUST-1021,26,Other,San Jose,Premium,107.81,51,16,1,Monthly,2026-05-27,2,1
CUST-1022,45,Female,San Antonio,Standard,48.68,47,2,1,Daily,2026-06-13,5,0
CUST-1023,69,Male,Houston,Basic,13.8,29,3,6,Monthly,2026-05-28,2,1
CUST-1024,73,Male,San Diego,Premium,77.83,42,18,0,Daily,2026-06-09,3,0
CUST-1025,49,Female,Houston,Standard,66.1,11,4,0,Daily,2026-05-02,4,0
CUST-1026,68,Female,Phoenix,Standard,57.86,47,18,1,Monthly,2026-06-01,3,0
CUST-1027,21,Other,Dallas,Basic,24.96,4,1,2,Monthly,2026-04-17,3,1
